date,avg_bpm,min_bpm,max_bpm
2025-08-23,63.61888111888112,51.0,103.0
2025-08-24,61.45454545454545,50.0,87.0
2025-08-25,63.2027972027972,49.0,91.0
2025-08-26,68.70979020979021,52.0,107.0
2025-08-27,65.24825174825175,51.0,87.0
2025-08-28,66.2027972027972,52.0,124.0
2025-08-29,64.72566371681415,52.0,101.0
2025-08-30,76.0,75.0,77.0
