date,kcal
2025-09-07,135.0
2025-09-08,286.3333333333333
2025-09-09,337.6666666666667
2025-09-10,397.2166666666667
2025-09-11,461.29
2025-09-12,342.39
2025-09-13,122.66666666666667
2025-09-14,95.53
